variable,case,original,cityseer,osmnx,parenx-voronoi,parenx-skeletonize,neatnet
avg_degree,Aleppo,85.59,31.67,58.65,32.94,35.89,22.85
avg_degree,Auckland,33.7,17.34,25.11,19.16,19.29,18.4
avg_degree,Bucaramanga,65.62,27.13,59.54,20.66,21.91,15.97
avg_degree,Douala,38.65,14.97,26.02,11.98,14.62,8.19
avg_degree,Liège,83.43,35.5,62.22,33.19,36.26,31.75
avg_degree,Salt Lake City,43.51,30.64,35.25,31.18,32.98,26.45
avg_degree,Wuhan,127.35,76.4,104.16,79.19,85.11,77.57
coordinate_count,Aleppo,1382.17,610.82,733.47,1280.78,93814.59,356.36
coordinate_count,Auckland,2454.29,577.0,777.37,816.03,33692.94,634.07
coordinate_count,Bucaramanga,2164.92,590.31,701.81,1139.08,144891.31,631.22
coordinate_count,Douala,1614.9,403.34,637.64,527.27,59279.32,212.21
coordinate_count,Liège,2273.62,704.08,788.49,599.77,40718.91,500.08
coordinate_count,Salt Lake City,1647.17,598.69,755.63,761.26,65367.8,469.12
coordinate_count,Wuhan,1603.38,971.13,975.79,1376.49,103092.15,1789.49
edge_count,Aleppo,1061.56,222.52,240.78,217.28,238.72,103.06
edge_count,Auckland,1891.28,128.01,264.5,93.69,89.1,74.94
edge_count,Bucaramanga,1900.47,130.84,317.79,206.57,234.47,107.46
edge_count,Douala,1414.4,106.2,243.87,65.88,78.03,39.64
edge_count,Liège,1718.62,160.82,241.07,149.41,155.52,109.4
edge_count,Salt Lake City,1252.82,160.9,245.53,227.87,246.14,84.32
edge_count,Wuhan,1200.25,377.47,397.69,395.89,443.54,613.63
edge_length,Aleppo,16519.57,15090.91,17315.99,11730.69,13650.91,6913.86
edge_length,Auckland,6512.24,5125.48,6619.6,6870.13,6759.85,10848.2
edge_length,Bucaramanga,7616.64,7111.25,8090.81,7028.9,8782.8,6299.12
edge_length,Douala,5597.17,5225.22,6096.87,3204.13,3863.12,3270.91
edge_length,Liège,12283.41,11084.78,12342.97,8380.75,9136.18,8162.74
edge_length,Salt Lake City,16890.06,16414.89,17126.52,14347.82,16194.78,9569.32
edge_length,Wuhan,23539.23,22053.92,23830.15,24120.98,24877.33,37111.24
node_count,Aleppo,976.61,143.9,173.04,126.7,182.45,59.61
node_count,Auckland,1816.19,71.11,214.34,68.14,70.42,43.24
node_count,Bucaramanga,1851.55,107.05,286.16,125.01,164.29,77.3
node_count,Douala,1384.78,77.34,222.1,44.71,76.52,24.39
node_count,Liège,1651.35,93.15,197.84,92.56,104.23,64.51
node_count,Salt Lake City,1171.78,76.76,181.95,118.33,157.28,54.19
node_count,Wuhan,1164.4,207.73,233.84,208.23,260.86,290.08
stroke_count,Aleppo,104.24,118.55,282.17,91.56,107.73,46.25
stroke_count,Auckland,83.91,55.15,145.21,34.86,41.61,44.54
stroke_count,Bucaramanga,59.97,68.91,166.8,67.04,88.06,50.26
stroke_count,Douala,46.78,59.82,165.64,36.22,57.35,22.58
stroke_count,Liège,99.29,81.6,138.88,66.5,74.49,49.84
stroke_count,Salt Lake City,85.6,80.3,175.99,85.66,101.13,49.56
stroke_count,Wuhan,117.53,120.58,227.99,140.8,179.57,185.82
stroke_length_max,Aleppo,274171.86,531032.67,471476.9,662639.83,763572.18,589014.38
stroke_length_max,Auckland,103500.48,210457.83,148941.63,234367.41,286405.14,218436.45
stroke_length_max,Bucaramanga,136894.67,237001.63,235645.0,259593.37,286395.17,242635.81
stroke_length_max,Douala,224463.2,268294.23,300266.03,279802.56,344391.7,224007.23
stroke_length_max,Liège,232284.04,628972.24,259137.82,696480.18,810478.84,635367.95
stroke_length_max,Salt Lake City,240447.83,245564.65,290182.83,322472.01,394429.31,278424.21
stroke_length_max,Wuhan,609814.5,973655.01,1047796.28,1290770.33,1432031.69,1120779.67
stroke_length_sum,Aleppo,400970.27,532750.58,514895.18,642200.93,817083.88,630464.03
stroke_length_sum,Auckland,177731.19,429900.3,241472.85,489679.17,567226.88,481993.11
stroke_length_sum,Bucaramanga,155142.15,229189.78,249912.94,259738.35,309071.28,261674.97
stroke_length_sum,Douala,233675.13,290668.54,333883.65,314628.78,410716.84,252159.87
stroke_length_sum,Liège,811448.09,1042451.16,824507.47,672405.77,845656.79,658572.98
stroke_length_sum,Salt Lake City,331715.47,339930.14,369534.77,358398.31,505627.41,335921.57
stroke_length_sum,Wuhan,971342.45,1580927.87,1549469.03,1991950.65,2258294.02,1925151.24
